AVERAGE of inc_%,,WEEK,,,,,,,,,,,,,,,,,,,,,,,,
CITY,SPOC,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Bathinda,Pod,0.0102,0.0035,0.0077,0.0038,,0.002,0.0039,0.0063,0.0082,0.0139,0.0071,0.0078,0.0039,0.0096,0.0128,0.0103,0.0185,0.0115,0.0073,0.0117,0.0157,0.0076,0.0116,0.0087,0.0071
Bathinda,Sourcing,,0.0009,,,,,,,,,,,,0.0016,0.0017,0.0017,0.0019,0.0041,0.0022,0.0058,0.0045,0.0016,0.0025,0.0039,0.0024
Bathinda,WH,,,0.001,,,,,,,,,0.0017,0.0008,,0.0009,,0.0009,0.0016,,0.0006,0.0011,,0.0015,0.0015,0.0012
Belgaum,CX,,0.0011,,0.0003,0.0008,0.004,0.0018,0.0011,0.0005,0.0021,0.0019,0.002,0.0009,0.0006,0.0012,0.0006,0.0009,0.0006,0.0008,0.001,0.0012,0.0014,0.0003,0.0006,0.0012
Belgaum,DP,,0.0004,0.0005,0.0003,,0.0011,0.0012,0.0003,0.0008,0.0021,0.0005,0.0003,0.0006,0.0009,0.0003,0.0006,0.0003,0.0006,,,,,,,
Belgaum,Pod,0.0016,0.0024,0.0028,0.003,0.0039,0.0043,0.0034,0.0046,0.0045,0.0055,0.0024,0.0072,0.003,0.0057,0.0049,0.0044,0.0027,0.0052,0.004,0.0061,0.0033,0.0031,0.003,0.002,0.0026
Belgaum,Sourcing,0.0016,0.0011,0.0008,0.0008,0.0006,0.0017,0.0009,0.0003,0.0005,0.0003,0.0011,0.0003,0.0009,0.0018,0.0023,0.0006,0.0032,0.0012,0.0011,0.0018,0.0015,0.002,0.0006,0.0009,0.0012
Belgaum,WH,,,0.0003,0.0011,,,,0.0003,,0.0003,,,0.0003,,,,0.0003,,,0.0003,0.0003,0.0006,,0.0003,
Berhampur,CX,,0.0021,,0.0017,0.0018,0.0015,0.0008,0.0019,0.0006,0.0017,0.0021,0.0027,0.0012,0.0034,0.0022,0.0031,0.0032,0.0023,0.0022,0.001,0.0029,0.0044,0.0017,0.0038,0.0046
Berhampur,DP,,,0.0008,,,,,0.0006,0.0006,,,0.0005,,0.0011,0.0005,0.001,0.0005,0.0006,,,,,,,
Berhampur,Pod,,0.0036,0.0051,0.0051,0.0088,0.003,0.0031,0.0032,0.0069,0.0073,0.0042,0.0055,0.0083,0.0062,0.0054,0.0083,0.0053,0.0073,0.006,0.0066,0.0058,0.0053,0.0106,0.0021,0.0068
